Address,Name,Balance,TxCount
0xff6b1cdfd2d3e37977d7938aa06b6d89d6675e27,AllBit,"1,705.34707049 Ether",40464
0x7a10ec7d68a048bdae36a70e93532d31423170fa,Bgogo_1,749.23906644 Ether,7842
0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,Bgogo_2,"1,194.84185954 Ether",7255
0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,"1,591.50462977 Ether",462761
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,BigONE_1,"12,576.16558944 Ether",48361
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE_2,761.29473322 Ether,117626
0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy,250.39929224 Ether,114861
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance_1,"155,218.11744976 Ether",8041891
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance_2,"24,416.42390044 Ether",1231157
0x564286362092d8e7936f0549571a803b203aaced,Binance_3,"14,979.51834018 Ether",1138999
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance_4,"31,264.07791734 Ether",1204982
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance_5,0.09273190 Ether,13397
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance_6,"1,242,834.47865349 Ether",107
0xdf5021a4c1401f1125cd347e394d977630e17cf7,Bitbox,911.86783764 Ether,1810
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex_1,9.96162740 Ether,391317
0x7727e5113d1d161373623e5f49fd568b4f543a9e,Bitfinex_2,0 Ether,529483
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex_3,"100,116.86592345 Ether",23
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex_4,"90,545.32657215 Ether",1117744
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex_5,"1,909,390.83958035 Ether",3215
0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb_1,"62,704.50304885 Ether",201472
0x03bdf69b1322d623836afbd27679a1c0afa067e9,Bitmax_1,"3,627.69818770 Ether",8628
0x4b1a99467a284cc690e3237bc69105956816f762,Bitmax_2,"4,504.79022029 Ether",1453
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex_1,"330,892.96798878 Ether",7445308
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex_2,0 Ether,1580384
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io_1,"24,670.48026623 Ether",15218
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io_2,"1,237.59328436 Ether",47135
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,96.97624251 Ether,77989
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,Changelly,37.28110237 Ether,389563
0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood_1,"1,500.01376342 Ether",177672
0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Cobinhood_2,"6,515.89289093 Ether",7322
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,"4,295.65195735 Ether",395717
0xb6ba1931e4e74fd080587688f6db10e830f810d5,Coindelta,397.41998441 Ether,59774
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,"4,981.58066308 Ether",138245
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,375.15049630 Ether,678384
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia,0.47982320 Ether,518809
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia_2,0 Ether,338216
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,"5,663.68007962 Ether",272776
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io_1,"106,188.31037689 Ether",1481665
0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io_2,244.31593207 Ether,11082
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io_3,"133,589.77884928 Ether",28043
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini_1,"72,252.76440158 Ether",514512
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini_2,0 Ether,260944
0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC_1,0.09306233 Ether,166823
0x59a5208b32e627891c389ebafc644145224006e8,HitBTC_2,"1,157.91255922 Ether",445334
0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC_3,"7,772.51057289 Ether",246984
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit,"2,900.44317110 Ether",251068
0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi_1,19.03995616 Ether,88662
0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi_10,19.87846446 Ether,77503
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi_11,20.04039729 Ether,70583
0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi_12,19.33352584 Ether,81046
0x1b93129f05cc2e840135aab154223c75097b69bf,Huobi_14,0.78663946 Ether,57421
0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,Huobi_15,181.57165233 Ether,121771
0x956e0dbecc0e873d34a5e39b25f364b2ca036730,Huobi_16,0.17015643 Ether,29451
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi_2,19.79795894 Ether,78832
0xfdb16996831753d5331ff813c29a93c76834a0ad,Huobi_3,19.09132621 Ether,85904
0xeee28d484628d41a82d01e21d12e2e78d69920da,Huobi_4,149.61239051 Ether,148202
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi_5,19.48236653 Ether,81024
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi_6,"850,860.64184765 Ether",142
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi_7,19.23666615 Ether,96087
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,Huobi_8,3.91046525 Ether,90874
0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi_9,20.23476734 Ether,81830
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken_1,"25,611.09609943 Ether",54762
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken_2,"132,288.03044699 Ether",12209
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken_3,"801,052.79995972 Ether",151
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken_4,"588,068.77593152 Ether",1059370
0xfa52274dd61e1643d2205169732f29114bc240b3,Kraken_5,0 Ether,1336970
0xe8a0e282e6a3e8023465accd47fae39dd5db010b,Kryptono_1,0.02947003 Ether,18996
0x629a7144235259336ea2694167f3c8b856edd7dc,Kryptono_2,"1,200.00000000 Ether",35
0x30b71d015f60e2f959743038ce0aaec9b4c1ea44,Kryptono_3,83.26746254 Ether,4189
0x2b5634c42055806a59e9107ed44d43c426e58258,Kucoin,"6,747.60597539 Ether",1804862
0x8271b2e8cbe29396e9563229030c89679b9470db,Liqui.io_1,"9,553.75667972 Ether",388031
0x5e575279bf9f4acf0a130c186861454247394c06,Liqui.io_2,226.74450220 Ether,434493
0xe03c23519e18d64f144d2800e30e81b0065c48b5,Mercatox,286.65123949 Ether,260766
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,Okex_1,"176,249.18686454 Ether",1071264
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,Okex_2,"1,219.29980712 Ether",867803
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex_1,"72,825.40415025 Ether",2417221
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex_2,0 Ether,1768757
0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex_3,0.25555604 Ether,478
0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,Poloniex_BAT,16.41323399 Ether,4450
0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Poloniex_BNT,17.14586539 Ether,1228
0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Poloniex_CVC,14.08299666 Ether,29473
0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,Poloniex_FOAM,8.55739461 Ether,956
0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,Poloniex_GNO,31.50902903 Ether,44225
0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex_GNT,9.79124355 Ether,163290
0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,Poloniex_KNC,5.71440259 Ether,1199
0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,Poloniex_LOOM,4.07745757 Ether,1536
0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Poloniex_MANA,7.18875123 Ether,1174
0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0,Poloniex_NXC,8.98593140 Ether,26892
0x36b01066b7fa4a0fdb2968ea0256c848e9135674,Poloniex_OMG,9.41458740 Ether,48072
0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,Poloniex_REP,7.08242182 Ether,93451
0x6795cf8eb25585eadc356ae32ac6641016c550f2,Poloniex_SNT,12.74355401 Ether,1479
0xfbf2173154f7625713be22e0504404ebfe021eae,Poloniex_STORJ,4.91208606 Ether,23868
0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Poloniex_USDC,6.50146315 Ether,12614
0xead6be34ce315940264519f250d8160f369fa5cd,Poloniex_ZRX,4.56662323 Ether,82259
0xb8cf411b956b3f9013c1d0ac8c909b086218207c,Remitano,625.41526278 Ether,78455
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift_1,21.28576604 Ether,67303
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift_2,0.00068755 Ether,103239
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift_3,"3,867.61779101 Ether",2237299
0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift_4,366.16775432 Ether,367923
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift_5,455.39992192 Ether,346672
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift_6,589.57811474 Ether,345878
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift_7,502.15585299 Ether,368321
0x2f1233ec3a4930fd95874291db7da9e90dfb2f03,Uex,"1,073.34616472 Ether",19457
0x390de26d772d2e2005c6d1d24afc902bae37a4bb,Upbit,15.51401268 Ether,999328
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,Yunbi_1,871.34452295 Ether,440587
0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc,Yunbi_2,"3,262.02104044 Ether",250307
0x700f6912e5753e91ea3fae877a2374a2db1245d7,Yunbi_3,161.71247043 Ether,7958